"protein","mean","sd","min","max","n_neg"
"chemokine (C-X-C motif) ligand 5",11.9301366567214,1.48456982788117,7.39030107606193,14.746916021441,0
"fms-related tyrosine kinase 3 ligand",9.85336775682658,0.891080952202258,7.46292304203009,12.3068607675682,0
"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",3.79388510326788,0.877969884933685,1.11387180896524,6.25980709908647,0
"tumor necrosis factor (ligand) superfamily, member 10",8.24486793399756,0.752373722523182,5.38736443558883,10.6104238846061,0
"chemokine (C-C motif) ligand 11_1",7.65012119631159,0.7090685851409,5.4784895014768,10.6370169270134,0
"chemokine (C-C motif) ligand 11_2",7.53385232597275,0.680963205465097,5.97321398625647,10.3640423161586,0
"chemokine (C-C motif) ligand 23",10.84796390494,0.911047003148675,9.00783330145989,13.1266977979767,0
"interleukin 2",0.515759416876602,0.317803878350794,-0.280327370130462,1.43323802351964,12
"chemokine (C-X3-C motif) ligand 1",6.91872197892783,0.657686387650922,5.39894402394525,8.57246259072498,0
"chemokine (C-C motif) ligand 20",2.51825086193876,1.41037168565398,0.189919131319905,7.21937498645497,0
"chemokine (C-C motif) ligand 8",9.35774732204279,1.08821235380908,6.20331388070605,13.7125526748268,0
"chemokine (C-C motif) ligand 7",3.22485566638072,1.59504937845556,1.00368309213677,9.27185478380407,0
"chemokine (C-X-C motif) ligand 6",9.48737415923972,0.939470633324173,6.96730622597715,12.0950206534958,0
"S100 calcium binding protein A12",3.5276202292081,1.59508885250157,0.706425716135404,8.84533570284715,0
"tumor necrosis factor receptor superfamily, member 9",6.58000235375112,0.803039488236584,4.92134531266846,11.4933688584525,0
"chemokine (C-X-C motif) ligand 9",7.51231751872654,1.13356540518666,5.10127881619049,10.5520990777467,0
"interleukin 10 receptor, beta",6.38497162539643,0.495843440078793,5.05735003618801,7.79869122497032,0
"interleukin 24",0.554853872686838,0.653150550706416,-1.21941095866559,3.60732329013854,44
"interleukin 15 receptor, alpha",1.44173499690361,0.498970626831174,0.511070921714454,3.03556669723386,0
"signaling lymphocytic activation molecule family member 1",3.11421935275001,0.692460575784474,1.81911261564708,6.65075875822253,0
"interleukin 18 receptor 1",8.52073612007826,0.736389849576679,6.68490296685453,10.2514464190582,0
"eukaryotic translation initiation factor 4E binding protein 1",9.92098402548926,0.716437436761581,7.9076557053227,11.5190030339794,0
"interleukin 10 receptor, alpha",-1.05421274587934,0.854793792104258,-2.21498638899841,2.51132715755779,218
"interleukin 18 (interferon-gamma-inducing factor)_3",9.41392043509264,0.811200525373639,7.28395917259664,12.8215700144739,0
"interleukin 18 (interferon-gamma-inducing factor)_4",9.2380411376278,0.905167189383312,7.03654306646858,12.5649757778157,0
"caspase 8, apoptosis-related cysteine peptidase",3.67994982499805,0.450693953243207,1.91185261416342,4.69383273475087,0
"interleukin 17A",1.25503002414822,0.820356529401159,-0.424155442364152,4.60026073435333,2
"artemin",0.403021026100837,0.445820582517328,-0.48048166597789,2.18653301298025,47
"sirtuin 2",7.70306649630975,1.21171832018858,3.93872130858246,10.0593071913566,0
"interleukin 22 receptor, alpha 1",0.536799127900622,0.517365784214727,-1.19279829042583,1.79510406302689,33
"delta/notch-like EGF repeat containing",8.88238103898858,0.689561186986021,6.33837853412291,10.7156148163694,0
"thymic stromal lymphopoietin",0.336742326297055,0.710791410916458,-1.40995692645759,4.05446725803938,70
